Task ID,Gender,Ethnicity,Hair,Hair Style,Eye Color,Facial Features,Age,Personality,Skills And Abilities,Work Style,Professional Traits,Background Indicators,Clothing Style,Accessories
96b0f224-f9e7-4d19-802c-d038453ae9da,Woman,Southeast Asian,Auburn,Curly,Red,Piercing and Glasses,Older (60+),Confident and Friendly,Empathetic,Structured,Strategic,Certified and Educated,Minimalist,Earrings
c92c4851-db78-4e35-bbf8-a3eaf9189084,Woman,South Asian,Multi-colored,Long,Blue,Freckles and Dimples,Young adult,Ambitious,Leadership and Communicative,Goal-driven and Detail-oriented,Diplomatic,Research-oriented,Casual,Tie
5ce1eb6a-463d-4cf0-bef5-cbc19933127a,Man,Asian,Red,Long,Violet,Glasses,Mature adult,Relaxed,Artistic and Logical,Innovative,Innovative,Tech-educated,Sporty,Briefcase
3bb1723d-984d-46e6-92c1-28e5d606a448,Woman,Hispanic,Grey,Long,Red,Clean-shaven and Dimples,Older (60+),Playful,Empathetic,Structured,Experienced and Strategic,Tech-educated,Sporty,Backpack
fa8ca3e9-236d-4e6a-b3e9-61c8693552e3,Woman,Southeast Asian,Auburn,Braided,Black,Clean-shaven and Glasses,Middle-aged (40s),Shy and Compassionate,Logical,Independent and Flexible,Diplomatic,Interdisciplinary,Business formal,Hat
b9afdaa8-cd50-402e-9568-c5cd895f0ed9,Woman,East Asian,Platinum,Bun,Green,Dimples,Elderly,Confident,Tech-savvy,Multitasking and Flexible,Specialized,Self-taught,Avant-garde,Backpack
3fc8ad09-3962-4dcf-bf6f-73b5a50ee23d,Man,Hispanic,Brown,Braided,Red,Mustache,Ageless,Playful and Shy,Musical,Team-oriented,Methodical,Certified,Trendy,Backpack
976e9df1-d630-4efb-8e72-35df294b16ad,Woman,Asian,Red,Dreadlocks,Green,Mole and Clean-shaven,Older (60+),Serious and Shy,Musical,Customer-focused,Strategic,Certified and Entrepreneurial,Minimalist,Scarf
d84c69e3-be30-444c-9a33-427925b5e8d4,Man,Southeast Asian,Salt-and-pepper,Afro,Blue,Mole,Elderly,Confident and Playful,Artistic,Structured and Customer-focused,Diplomatic,Multicultural and Interdisciplinary,Vintage,Watch
08ca5bdd-c68c-45d3-b2ef-41ff39911142,Man,South Asian,Grey,Braided,Black,Beard,Young adult,Ambitious and Shy,Musical,Team-oriented and Multitasking,Diplomatic and Methodical,Well-traveled and Certified,Trendy,Scarf
75782db7-a52d-4e7c-bb9a-ea437d213011,Man,Middle Eastern,Grey,Braided,Emerald,Mustache,Senior (70+),Friendly,Artistic and Tech-savvy,Detail-oriented,Reliable and Innovative,Self-taught,Business casual,Headphones
7c883a34-c397-4a0c-ae90-7a915925579f,Woman,South Asian,Black,Long,Brown,Mole and Clean-shaven,Mature adult,Energetic and Friendly,Creative and Communicative,Independent and Customer-focused,Reliable and Methodical,Research-oriented and Educated,Business casual,Glasses
dd37a494-3be4-4240-a1c2-8361c8ddae2c,Woman,Asian,Salt-and-pepper,Short,Red,Mole and Freckles,Middle-aged (40s),Serious and Friendly,Communicative,Customer-focused and Structured,Adaptable and Visionary,Multicultural,Business formal,Scarf
b7952147-5464-455a-9249-f5e3775cda4a,Woman,Southeast Asian,Blonde,Dreadlocks,Emerald,Dimples,Young adult,Serious,Athletic and Artistic,Collaborative and Customer-focused,Methodical and Adaptable,Interdisciplinary,Casual,Hat
e4d14e49-f9d8-4af6-8d48-12de5cd13d11,Woman,Middle Eastern,Blonde,Bun,Blue,Glasses and Dimples,Middle-aged (40s),Mysterious,Leadership and Analytical,Detail-oriented and Multitasking,Methodical,Interdisciplinary,Business formal,Backpack
df6f7e81-7fef-401c-a336-62418374829c,Man,South Asian,Multi-colored,Braided,Emerald,Clean-shaven,Middle-aged (40s),Playful and Compassionate,Communicative,Customer-focused and Goal-driven,Visionary and Specialized,Interdisciplinary,Sporty,Headphones
ff2b11c1-85de-4e72-93b8-41956630a864,Woman,East Asian,Auburn,Bun,Violet,Freckles,Elderly,Compassionate,Logical,Independent and Innovative,Methodical,Well-traveled,Trendy,Scarf
eed56981-2818-4cc2-9cdc-f5a40d4283a7,Woman,South Asian,Salt-and-pepper,Braided,Black,Glasses and Freckles,Older (60+),Friendly,Communicative,Customer-focused and Team-oriented,Reliable,Certified and Entrepreneurial,Minimalist,Backpack
96b4d5cd-0aae-47a4-9a0e-a869ee4fefe6,Woman,African,Brown,Long,Blue,Clean-shaven and Mole,Elderly,Energetic and Friendly,Leadership and Logical,Customer-focused and Goal-driven,Experienced and Specialized,Research-oriented and Well-traveled,Casual,Tie
05ec03c0-7799-4f8d-8317-b384c6115972,Man,Pacific Islander,Blonde,Short,Violet,Freckles and Mustache,Ageless,Friendly,Leadership and Musical,Team-oriented,Methodical and Adaptable,Educated and Self-taught,Business casual,Glasses
46126dde-5012-465c-bbfa-6f0e59b1e3ac,Man,Pacific Islander,Salt-and-pepper,Curly,Brown,Glasses and Dimples,Young (20s),Playful,Empathetic,Detail-oriented and Goal-driven,Strategic,Research-oriented,Bohemian,Hat
77e25041-7a02-4217-a58e-bfe530814e00,Man,Pacific Islander,Brown,Afro,Brown,Beard and Clean-shaven,Young (20s),Relaxed,Communicative,Independent and Flexible,Resourceful,Certified and Self-taught,Vintage,Glasses
48640422-87d7-4567-8a72-b3c585c49137,Woman,Hispanic,Salt-and-pepper,Short,Violet,Glasses and Piercing,Young adult,Serious,Artistic,Independent and Goal-driven,Visionary,Multicultural and Research-oriented,Business formal,Earrings
5345c00a-6dbd-42a7-b12f-2fe9e1e8847a,Woman,Southeast Asian,Brown,Bun,Blue,Glasses,Young (20s),Playful,Empathetic,Multitasking and Collaborative,Adaptable,Multicultural,Trendy,Glasses
4b7f57e2-8eb9-436c-bf57-cb2cc1fc306b,Woman,African,Blonde,Bun,Emerald,Freckles,Elderly,Compassionate and Shy,Logical,Structured and Collaborative,Resourceful and Experienced,Interdisciplinary and Entrepreneurial,Casual,Glasses
cb3da825-d216-495c-82a9-76f74dc777c4,Woman,South Asian,Multi-colored,Braided,Grey,Glasses,Ageless,Ambitious and Playful,Leadership,Goal-driven,Resourceful,Research-oriented,Trendy,Jewelry
d73fbcfd-a504-47e3-9d2c-7d743bff24fb,Man,South Asian,Brown,Curly,Grey,Dimples and Glasses,Senior (70+),Ambitious and Playful,Athletic and Tech-savvy,Innovative,Methodical,Bilingual and Self-taught,Avant-garde,Briefcase
60b1e8ec-c865-4c34-9934-6e4c9eb2ff0f,Woman,Middle Eastern,White,Curly,Emerald,Clean-shaven and Piercing,Young (20s),Confident,Athletic and Empathetic,Flexible and Multitasking,Methodical and Reliable,Research-oriented and Certified,Sporty,Tie
17b1a3c0-4a53-449b-b879-ef907100e391,Man,South Asian,Salt-and-pepper,Short,Black,Freckles and Dimples,Elderly,Relaxed,Athletic and Leadership,Multitasking and Detail-oriented,Resourceful and Innovative,Bilingual,Minimalist,Glasses
a3c02a1f-1ecc-480a-a920-2ff7c5585bc3,Man,Pacific Islander,Auburn,Straight,Violet,Freckles,Young adult,Friendly and Relaxed,Logical and Analytical,Flexible and Multitasking,Strategic and Methodical,Educated,Business casual,Backpack
375ccf4d-750b-4724-a18b-a2176f750bf5,Man,Hispanic,Grey,Curly,Grey,Clean-shaven and Glasses,Young (20s),Serious and Ambitious,Leadership and Musical,Team-oriented,Resourceful,Well-traveled,Casual,Watch
218ed888-58ac-4ad0-b4b5-5318a07c6521,Woman,South Asian,Red,Short,Grey,Dimples and Piercing,Elderly,Serious,Communicative and Tech-savvy,Innovative and Team-oriented,Reliable,Well-traveled,Vintage,Glasses
9b54554e-8226-4d28-8dfd-e75ceef8551b,Man,African,Auburn,Curly,Hazel,Beard and Mole,Elderly,Playful,Analytical and Logical,Independent,Reliable,Research-oriented and Entrepreneurial,Business casual,Watch
fdcd1993-d367-4e74-ba0b-c8c4d2aff375,Woman,Hispanic,Blonde,Mohawk,Blue,Dimples,Young (20s),Relaxed,Artistic,Detail-oriented and Customer-focused,Specialized,Research-oriented and Educated,Minimalist,Earrings
71d73435-c102-4155-b8fc-1c7aa40a30a2,Man,Pacific Islander,Multi-colored,Braided,Grey,Clean-shaven and Dimples,Mature adult,Compassionate,Musical and Analytical,Customer-focused,Strategic and Adaptable,Interdisciplinary,Minimalist,Tie
cd658433-fcc1-4942-9b48-79bfb13f2237,Woman,South Asian,Auburn,Straight,Blue,Glasses and Dimples,Elderly,Ambitious and Relaxed,Tech-savvy,Customer-focused and Goal-driven,Diplomatic,Self-taught and Tech-educated,Avant-garde,Tie
a80c631d-73f8-4568-ae2f-061a82d9fc67,Man,African,Grey,Curly,Blue,Mustache and Freckles,Ageless,Energetic,Musical,Customer-focused,Experienced,Interdisciplinary,Trendy,Watch
90a79d30-a947-420e-8424-f70745e25a30,Man,Asian,White,Dreadlocks,Black,Dimples,Young (20s),Relaxed and Mysterious,Analytical,Multitasking and Innovative,Methodical,Educated,Sporty,Glasses
7bc25612-e8e4-4eff-8ed8-aaf784c4002c,Woman,African,Blonde,Bun,Amber,Dimples and Clean-shaven,Young adult,Energetic and Playful,Creative and Communicative,Team-oriented and Innovative,Innovative,Certified and Multicultural,Uniform,Tie
7af8555c-83ed-4e63-9518-ec9f52230cad,Woman,Hispanic,Brown,Long,Brown,Piercing,Senior (70+),Serious,Musical and Creative,Customer-focused,Diplomatic and Innovative,Multicultural,Vintage,Headphones
3ee418aa-ad55-4c95-b366-fd0b8404c4e6,Man,Pacific Islander,Black,Bun,Emerald,Freckles and Clean-shaven,Ageless,Shy and Relaxed,Empathetic and Athletic,Innovative,Resourceful,Research-oriented,Minimalist,Backpack
a70ad4bf-bb20-40e2-94e0-9ed2409d7999,Man,Caucasian,Grey,Curly,Hazel,Dimples,Young (20s),Compassionate and Friendly,Communicative,Multitasking and Goal-driven,Reliable,Multicultural and Well-traveled,Minimalist,Glasses
a0f9e285-8d89-4d94-ac58-ed46c57b6004,Man,Asian,Multi-colored,Mohawk,Hazel,Beard,Older (60+),Friendly,Musical and Logical,Flexible and Collaborative,Innovative,Well-traveled and Bilingual,Business formal,Earrings
7c286b49-e631-4013-ae40-bff84f7fecd3,Woman,Hispanic,Grey,Bun,Red,Glasses,Middle-aged (40s),Mysterious,Logical,Flexible and Independent,Methodical,Self-taught and Entrepreneurial,Business formal,Earrings
b11bae3c-bb95-490e-a354-402980f12fb2,Woman,Southeast Asian,White,Mohawk,Violet,Mole,Elderly,Mysterious and Ambitious,Analytical,Independent,Adaptable,Tech-educated,Uniform,Hat
8a7675cf-d2cb-4bc9-9312-df32f519fe22,Man,South Asian,Salt-and-pepper,Bun,Emerald,Glasses and Beard,Older (60+),Playful and Mysterious,Musical,Independent,Innovative and Specialized,Educated and Multicultural,Sporty,Hat
b6dac386-264e-474f-a945-aa0f20f1c74a,Woman,South Asian,Red,Bun,Hazel,Dimples and Mole,Young adult,Serious,Empathetic and Tech-savvy,Detail-oriented,Resourceful and Strategic,Tech-educated,Casual,Scarf
37d31973-23b7-4b95-8764-90067825ab9a,Woman,East Asian,Black,Braided,Black,Dimples and Mole,Older (60+),Confident,Athletic and Communicative,Collaborative,Resourceful and Reliable,Multicultural and Self-taught,Trendy,Jewelry
ca7b6b33-9177-4886-84ca-f83c8e2679ea,Man,Hispanic,Platinum,Afro,Emerald,Dimples,Young adult,Confident and Shy,Artistic and Tech-savvy,Team-oriented,Innovative and Diplomatic,Educated,Sporty,Backpack
21b2d10b-5c27-47c2-9e50-0325274fbafd,Man,South Asian,Black,Afro,Blue,Beard and Mole,Elderly,Serious and Shy,Logical,Structured and Detail-oriented,Diplomatic and Specialized,Entrepreneurial,Casual,Glasses
f1763a9a-62c5-464a-b26d-0eb59e8affd8,Man,South Asian,Black,Braided,Black,Beard,Young (20s),Confident and Energetic,Creative,Detail-oriented,Visionary and Innovative,Tech-educated,Trendy,Briefcase
8317704c-d1e1-429f-9bfb-4fbfe375d15a,Man,South Asian,Auburn,Layered,Amber,Piercing,Young adult,Shy and Friendly,Logical and Leadership,Multitasking and Structured,Resourceful,Certified,Trendy,Glasses
18b61457-965f-4a97-935b-0a710a58cd2e,Woman,Asian,Brown,Bun,Brown,Glasses,Middle-aged (40s),Energetic,Empathetic,Collaborative,Methodical,Bilingual,Bohemian,Scarf
452cfb49-8e69-4d8f-9b72-a9e75cbc16fe,Man,East Asian,Salt-and-pepper,Layered,Emerald,Mole,Mature adult,Shy,Logical and Tech-savvy,Structured and Multitasking,Reliable and Adaptable,Self-taught,Bohemian,Watch
db5f303f-31ab-461d-aab8-a1cf2a8abfdb,Man,Caucasian,Brown,Layered,Emerald,Freckles and Clean-shaven,Young (20s),Shy and Friendly,Analytical,Team-oriented and Flexible,Innovative and Resourceful,Educated,Minimalist,Briefcase
2347c517-5067-4394-8f39-15b9a5d7b6d2,Man,Asian,Black,Bun,Grey,Dimples,Young adult,Ambitious,Communicative and Tech-savvy,Detail-oriented and Multitasking,Diplomatic,Certified,Uniform,Glasses
abf94567-4ebe-4edb-bd4b-7229a0cde7dd,Man,Middle Eastern,Red,Long,Emerald,Beard,Ageless,Energetic and Shy,Athletic,Team-oriented,Experienced and Visionary,Bilingual and Interdisciplinary,Business formal,Scarf
902a22bd-cd62-48c4-a1e5-131e17973161,Woman,Asian,Platinum,Long,Red,Mole,Middle-aged (40s),Serious and Shy,Tech-savvy,Independent and Multitasking,Experienced,Entrepreneurial and Research-oriented,Bohemian,Headphones
213a7030-8eb7-468a-9739-dff3dbea3913,Woman,East Asian,Red,Short,Black,Clean-shaven,Middle-aged (40s),Shy,Tech-savvy and Analytical,Structured,Specialized,Interdisciplinary and Certified,Sporty,Tie
9558d578-f8f6-4e3f-9dc7-fa04cf0b9dc6,Woman,Caucasian,Salt-and-pepper,Straight,Grey,Freckles,Middle-aged (40s),Ambitious and Confident,Analytical and Athletic,Detail-oriented and Customer-focused,Strategic,Multicultural,Vintage,Glasses
06cac8c8-e713-4d76-9a39-9b4dde437ae0,Woman,Southeast Asian,Platinum,Short,Blue,Clean-shaven,Older (60+),Compassionate and Playful,Analytical and Logical,Goal-driven and Innovative,Innovative,Multicultural,Minimalist,Earrings
6955a37d-5fd3-4314-a974-ff54a9805c93,Man,Caucasian,Brown,Curly,Emerald,Glasses and Freckles,Young (20s),Friendly,Leadership and Athletic,Goal-driven,Methodical,Well-traveled and Research-oriented,Business casual,Headphones
5ce3ca30-9dd7-41d3-b245-0caa3def42dc,Woman,African,Grey,Afro,Grey,Dimples,Older (60+),Confident and Shy,Athletic and Artistic,Multitasking,Adaptable,Entrepreneurial and Certified,Uniform,Glasses
bb629fee-37d4-499f-89ee-460b755d8bc2,Woman,Caucasian,Grey,Braided,Blue,Clean-shaven,Senior (70+),Ambitious,Artistic,Goal-driven and Customer-focused,Methodical and Adaptable,Self-taught,Vintage,Headphones
3b46dcba-e4a4-46ba-ace0-5de9f55aeceb,Woman,Middle Eastern,Grey,Dreadlocks,Black,Freckles,Senior (70+),Serious,Artistic,Independent,Specialized and Experienced,Bilingual,Avant-garde,Tie
a2f106e1-118f-4d37-9771-c1ff21037b44,Woman,Hispanic,Salt-and-pepper,Short,Emerald,Piercing,Senior (70+),Mysterious,Leadership,Structured and Detail-oriented,Experienced,Multicultural,Avant-garde,Backpack
f9569ce0-4a0f-4a08-821f-25147901947a,Man,Pacific Islander,Blonde,Short,Amber,Mustache,Middle-aged (40s),Shy,Athletic,Team-oriented,Innovative,Educated and Certified,Trendy,Watch
69ee0d3b-d339-454c-96bf-5217ecbc3426,Woman,Hispanic,Auburn,Mohawk,Red,Mole and Clean-shaven,Young (20s),Mysterious and Compassionate,Analytical and Musical,Customer-focused and Independent,Experienced and Strategic,Educated,Bohemian,Scarf
8b9b35a6-f64d-4985-adde-d304cb39664b,Woman,Caucasian,Salt-and-pepper,Short,Hazel,Clean-shaven and Piercing,Middle-aged (40s),Confident,Leadership,Innovative and Structured,Diplomatic and Visionary,Bilingual and Multicultural,Trendy,Tie
f537dd47-6533-479b-a591-23ebce2aa057,Man,Middle Eastern,White,Bun,Grey,Mole,Elderly,Shy and Friendly,Logical,Multitasking and Goal-driven,Innovative and Strategic,Bilingual,Bohemian,Earrings
0a6df0f4-53e5-423a-8aca-d0614102e000,Man,African,Red,Layered,Amber,Dimples,Senior (70+),Mysterious and Ambitious,Communicative,Multitasking,Strategic,Self-taught,Casual,Watch
c31d1a21-e20e-4f42-9f35-0b4baaf3ee1a,Man,Southeast Asian,Multi-colored,Bun,Green,Glasses and Clean-shaven,Young adult,Friendly and Ambitious,Artistic,Multitasking and Collaborative,Methodical,Bilingual,Uniform,Glasses
0da8faf2-d789-4d77-9755-af4e6366a3e4,Woman,Asian,Auburn,Bun,Amber,Freckles,Mature adult,Friendly,Communicative,Collaborative,Adaptable,Educated,Trendy,Headphones
28fda69f-0136-45a2-b450-7d65e208fb89,Man,East Asian,White,Braided,Blue,Mole and Glasses,Middle-aged (40s),Serious,Creative,Innovative and Goal-driven,Visionary,Research-oriented and Entrepreneurial,Uniform,Briefcase
363741da-4e82-4d95-8636-fbe2624ef6d9,Man,Hispanic,Black,Mohawk,Grey,Glasses and Dimples,Middle-aged (40s),Shy and Energetic,Creative,Innovative,Innovative,Certified,Business formal,Tie
61d2f0b5-4cce-47cc-a9a2-3b939d1174a6,Woman,South Asian,Brown,Long,Grey,Glasses,Mature adult,Playful,Logical,Structured,Resourceful,Interdisciplinary,Trendy,Briefcase
75abd458-6641-4fd1-aa42-d2edd0b2d815,Man,Southeast Asian,Salt-and-pepper,Long,Brown,Piercing and Mustache,Older (60+),Confident and Compassionate,Leadership and Logical,Multitasking,Methodical and Reliable,Interdisciplinary,Casual,Scarf
7b5488f2-2a9d-4a91-b2f2-f381072ca777,Man,Southeast Asian,Brown,Afro,Emerald,Freckles,Senior (70+),Shy,Analytical and Logical,Independent and Structured,Strategic,Self-taught,Casual,Briefcase
5826bbc7-3a10-4f05-9368-491a18df5f7a,Woman,Middle Eastern,Multi-colored,Afro,Red,Dimples,Senior (70+),Shy and Relaxed,Musical and Communicative,Goal-driven and Detail-oriented,Innovative,Interdisciplinary,Avant-garde,Jewelry
61afe410-3056-41bb-8eb4-d89e005e9a55,Woman,Asian,Multi-colored,Long,Red,Freckles and Mole,Ageless,Energetic and Relaxed,Creative,Goal-driven and Flexible,Strategic,Interdisciplinary and Bilingual,Minimalist,Tie
ca265e4f-4757-4c5c-89a1-fe3a692c8a46,Woman,South Asian,Auburn,Curly,Amber,Clean-shaven and Mole,Mature adult,Playful,Tech-savvy and Creative,Team-oriented,Reliable and Visionary,Entrepreneurial and Research-oriented,Trendy,Earrings
17a7cfd7-6954-4f69-a5c5-7ad65309d89f,Man,South Asian,Multi-colored,Short,Brown,Freckles and Piercing,Older (60+),Compassionate and Confident,Musical,Collaborative and Detail-oriented,Adaptable and Diplomatic,Educated,Minimalist,Watch
d24355eb-c045-422c-b53c-744f624f2ba8,Woman,Southeast Asian,Red,Bun,Emerald,Glasses and Dimples,Elderly,Serious and Confident,Leadership,Team-oriented,Reliable,Research-oriented,Business casual,Headphones
fac605c8-2426-4d75-ade2-bc7785cbf7dd,Man,African,Salt-and-pepper,Braided,Grey,Piercing and Clean-shaven,Elderly,Energetic,Empathetic and Tech-savvy,Team-oriented,Diplomatic and Adaptable,Bilingual and Self-taught,Avant-garde,Briefcase
6f3aa710-2365-46bf-aaf7-433408b54f05,Woman,Asian,Grey,Dreadlocks,Brown,Clean-shaven,Elderly,Confident and Serious,Tech-savvy,Collaborative,Strategic and Resourceful,Research-oriented and Well-traveled,Business formal,Briefcase
b3bee3c2-3e59-4ff1-a32c-e70081eeb377,Man,Pacific Islander,Black,Braided,Red,Glasses and Piercing,Middle-aged (40s),Energetic,Leadership,Flexible and Independent,Reliable and Resourceful,Certified and Tech-educated,Avant-garde,Jewelry
fd2639e1-d934-4e6f-96f5-e1b0e322bd70,Man,South Asian,Platinum,Mohawk,Blue,Piercing and Dimples,Senior (70+),Friendly,Communicative,Structured,Specialized,Self-taught,Bohemian,Hat
36206ce8-dea5-4e4d-af19-4cfb461f34d2,Woman,Caucasian,Red,Short,Blue,Glasses and Mole,Elderly,Relaxed,Empathetic and Communicative,Multitasking and Independent,Visionary and Reliable,Well-traveled and Entrepreneurial,Trendy,Scarf
735a111b-b155-427c-b379-be5b3002766d,Woman,Hispanic,Platinum,Long,Green,Piercing and Mole,Ageless,Playful and Compassionate,Creative and Athletic,Team-oriented,Innovative,Entrepreneurial,Sporty,Headphones
9bfa4688-df66-4ee5-9d5d-d23fe6223f09,Woman,Middle Eastern,Red,Long,Green,Clean-shaven,Middle-aged (40s),Playful,Athletic,Multitasking,Diplomatic,Multicultural and Self-taught,Business formal,Glasses
13bbdc89-ef2c-4887-9ac3-db1b87645b4a,Man,South Asian,Platinum,Braided,Grey,Mole and Freckles,Senior (70+),Mysterious,Athletic,Goal-driven,Resourceful and Methodical,Research-oriented and Entrepreneurial,Uniform,Jewelry
1011a9cb-11ac-409c-947a-9b5df59646eb,Woman,Hispanic,Brown,Afro,Brown,Dimples and Glasses,Elderly,Compassionate,Creative,Team-oriented and Collaborative,Reliable,Bilingual and Multicultural,Uniform,Jewelry
ab7f9a51-cbfc-4c48-ab69-b56dff7cb5e0,Man,East Asian,Grey,Long,Green,Dimples and Mustache,Ageless,Ambitious,Tech-savvy and Communicative,Collaborative and Customer-focused,Methodical,Educated and Multicultural,Avant-garde,Scarf
355db465-93be-4892-b9a9-6c16bd00a98c,Man,Hispanic,Salt-and-pepper,Mohawk,Black,Mustache,Mature adult,Energetic,Analytical,Detail-oriented and Customer-focused,Resourceful and Innovative,Research-oriented,Casual,Hat
dddb3b84-19a2-4954-a4a9-02f03cda2dfc,Man,African,Multi-colored,Long,Grey,Clean-shaven,Ageless,Shy and Friendly,Creative,Collaborative and Team-oriented,Specialized,Entrepreneurial and Bilingual,Business casual,Jewelry
e0fbb2fc-11b3-480c-a411-29f37a9b2824,Man,Middle Eastern,Brown,Afro,Hazel,Piercing,Mature adult,Relaxed,Artistic,Goal-driven and Structured,Specialized and Adaptable,Multicultural,Business formal,Tie
a9854c62-a378-4569-812c-a25205ac1b63,Woman,East Asian,Black,Short,Brown,Dimples and Freckles,Middle-aged (40s),Relaxed,Communicative,Independent and Detail-oriented,Resourceful and Adaptable,Self-taught and Interdisciplinary,Business casual,Tie
6320a1f5-59c5-4cab-bf06-0e42f9f9b285,Woman,South Asian,Red,Mohawk,Violet,Dimples,Senior (70+),Energetic and Shy,Artistic and Empathetic,Customer-focused and Multitasking,Strategic,Well-traveled,Sporty,Tie
640414bf-9502-4d5f-a9bd-0f9b77fbb96e,Man,African,Grey,Curly,Black,Glasses,Young (20s),Relaxed,Musical and Analytical,Goal-driven,Strategic and Visionary,Entrepreneurial,Casual,Earrings
347cb21a-4261-4409-805f-d649c698494c,Man,South Asian,Brown,Layered,Brown,Clean-shaven,Middle-aged (40s),Shy and Serious,Empathetic,Multitasking,Specialized,Educated,Vintage,Briefcase
c5ca6bac-e3aa-4b21-be00-691df6818f7b,Woman,Hispanic,Salt-and-pepper,Braided,Grey,Mole,Young (20s),Confident,Tech-savvy and Communicative,Collaborative,Innovative and Experienced,Interdisciplinary and Tech-educated,Bohemian,Glasses
bd829d3d-b503-4abe-8b62-e218d99363c5,Woman,Caucasian,Grey,Mohawk,Violet,Mole,Mature adult,Shy,Athletic and Analytical,Structured and Detail-oriented,Visionary,Certified and Bilingual,Casual,Earrings
226e5c34-f26d-4369-a517-ba606b7725cd,Man,East Asian,Auburn,Curly,Grey,Beard,Middle-aged (40s),Relaxed and Confident,Artistic,Detail-oriented,Innovative and Specialized,Tech-educated,Trendy,Hat
edd5d2c8-9dab-435c-898e-38fa61861cbd,Woman,African,Blonde,Long,Grey,Freckles and Mole,Ageless,Relaxed and Serious,Artistic,Detail-oriented and Innovative,Experienced,Entrepreneurial and Educated,Casual,Jewelry
02040379-b3fa-4da6-8e5b-53349f93f1dc,Man,South Asian,White,Afro,Amber,Freckles and Dimples,Older (60+),Serious and Ambitious,Tech-savvy,Flexible and Detail-oriented,Experienced,Bilingual and Entrepreneurial,Vintage,Jewelry
b1ec4fc6-6133-421e-b2ad-d6576a95f1e5,Man,Southeast Asian,Black,Braided,Amber,Mole and Dimples,Young adult,Serious,Musical,Detail-oriented,Experienced,Entrepreneurial and Well-traveled,Trendy,Scarf
a23c6ef0-c344-479e-b335-0b8a633515b7,Woman,Middle Eastern,Salt-and-pepper,Straight,Grey,Piercing,Ageless,Confident,Communicative and Logical,Goal-driven,Reliable and Adaptable,Educated,Vintage,Briefcase
a5f54c88-aed8-4c34-80a5-d3268bfe86f2,Man,Hispanic,Grey,Afro,Red,Freckles and Clean-shaven,Mature adult,Serious,Analytical,Innovative,Specialized,Research-oriented and Multicultural,Business casual,Jewelry
d92d45f8-ba63-4e29-bf9d-534dc014f813,Man,Caucasian,Multi-colored,Dreadlocks,Amber,Beard,Older (60+),Mysterious,Tech-savvy and Empathetic,Independent and Multitasking,Visionary and Diplomatic,Research-oriented and Multicultural,Uniform,Briefcase
